iter	Logloss
0	0.690024141
1	0.6875494259
2	0.6849801907
3	0.683145154
4	0.6815713474
5	0.6803058712
6	0.6790934418
7	0.6780713798
8	0.6772062902
9	0.6763723199
10	0.6758223734
11	0.6750582246
12	0.6743244598
13	0.6736353668
14	0.6731005996
15	0.6726981895
16	0.6721578939
17	0.6718041693
18	0.6714086004
19	0.6710032243
20	0.6706843498
21	0.6706064131
22	0.6702797925
23	0.6700034632
24	0.6695998412
25	0.6693366094
26	0.6690334065
27	0.6687883224
28	0.6685356396
29	0.6682997723
30	0.6681211169
31	0.6678715096
32	0.6676137616
33	0.6674136824
34	0.6672090086
35	0.667016701
36	0.6668596615
37	0.6666704139
38	0.6664670325
39	0.6662812243
40	0.6660793362
41	0.6659887378
42	0.6658162627
43	0.6656841847
44	0.6655071374
45	0.6654095236
46	0.6651914547
47	0.6650831979
48	0.6649215527
49	0.6647825362
50	0.6646022941
51	0.6644625003
52	0.6643166818
53	0.6641318507
54	0.6640085707
55	0.6638563699
56	0.663659986
57	0.6635310038
58	0.6633950829
59	0.663241171
60	0.663066197
61	0.6629538309
62	0.662837133
63	0.6626936412
64	0.6625532972
65	0.662456298
66	0.6623061122
67	0.662162058
68	0.6620445858
69	0.661914145
70	0.6617690974
71	0.6616484897
72	0.6615204814
73	0.661337494
74	0.6612348403
75	0.6611506728
76	0.66105483
77	0.6609028433
78	0.6608351746
79	0.6606822716
80	0.6605648668
81	0.6603931965
82	0.6603270434
83	0.6601494018
84	0.6600507817
85	0.6599524997
86	0.6598041061
87	0.6596730937
88	0.6595882126
89	0.6594654174
90	0.6592862251
91	0.6591939794
92	0.6590694568
93	0.6589180167
94	0.658826347
95	0.6586915379
96	0.6585658476
97	0.6585016329
98	0.6583988085
99	0.6582850678
100	0.6581671546
101	0.6580541155
102	0.6579712171
103	0.6578428636
104	0.6576923292
105	0.6575772502
106	0.6575076744
107	0.6573757321
108	0.657239772
109	0.6571349469
110	0.6570110454
111	0.6569256763
112	0.656762001
113	0.6566525936
114	0.6565413932
115	0.6563547084
116	0.6562006289
117	0.6560885928
118	0.655948965
119	0.6558294964
120	0.6556749098
121	0.655549609
122	0.6554333049
123	0.6553113518
124	0.6552011199
125	0.6550291318
126	0.6548801718
127	0.6547031674
128	0.654594809
129	0.6543537411
130	0.6541381177
131	0.6539408947
132	0.6537745683
133	0.6535945087
134	0.6534224587
135	0.6532904814
136	0.6531252671
137	0.6529989165
138	0.6528468234
139	0.6526804469
140	0.6524158254
141	0.6522738743
142	0.6520498818
143	0.651905691
144	0.6516921291
145	0.6514578653
146	0.6512888654
147	0.6510868535
148	0.6509146282
149	0.6506717943
150	0.6504922636
151	0.6503413171
152	0.6501580293
153	0.6499003522
154	0.6497263167
155	0.6495567376
156	0.6493731158
157	0.6491300735
158	0.648919384
159	0.6487715159
160	0.6485802195
161	0.6483350852
162	0.648155272
163	0.6479799663
164	0.6477822363
165	0.6475972698
166	0.6474116886
167	0.6472112725
168	0.6469803582
169	0.6467168757
170	0.6465208727
171	0.6463076934
172	0.6461158862
173	0.6459795974
174	0.6458108234
175	0.6456115797
176	0.6453665268
177	0.6452460344
178	0.6451273407
179	0.6449236398
180	0.6447740144
181	0.6445203596
182	0.6443312763
183	0.6441279991
184	0.6439167205
185	0.6437313155
186	0.6435764957
187	0.6433446396
188	0.6431522596
189	0.6429520739
190	0.6428041335
191	0.6426025255
192	0.6424103277
193	0.6422886634
194	0.6421351622
195	0.641978679
196	0.6418016213
197	0.6415669748
198	0.641394718
199	0.6412141031
200	0.6410725869
201	0.6408705458
202	0.6407344675
203	0.640491474
204	0.6403206224
205	0.6400919678
206	0.6399268266
207	0.6397366516
208	0.6395622582
209	0.6394322116
210	0.6392618925
211	0.639106216
212	0.6389384042
213	0.638723171
214	0.6385166235
215	0.638333278
216	0.638130519
217	0.6379789307
218	0.6377650468
219	0.6375630283
220	0.6373753238
221	0.6372227617
222	0.6369856619
223	0.6368525133
224	0.6366304767
225	0.6364891262
226	0.6362880753
227	0.6360757586
228	0.6358732599
229	0.6356861593
230	0.6355227175
231	0.6354037315
232	0.6352283552
233	0.6350521897
234	0.6348526878
235	0.6346697362
236	0.6344543242
237	0.6342391734
238	0.634062848
239	0.6338486702
240	0.6337017427
241	0.6335234737
242	0.6333123755
243	0.6330862703
244	0.632897369
245	0.6327822789
246	0.632599488
247	0.6324324169
248	0.6323316292
249	0.6321883643
250	0.6319852231
