iter	Passed	Remaining
0	21	21740
1	46	23351
2	67	22427
3	89	22212
4	109	21829
5	136	22595
6	156	22172
7	175	21816
8	195	21568
9	218	21628
10	238	21428
11	265	21828
12	287	21832
13	315	22227
14	337	22138
15	364	22410
16	384	22206
17	404	22068
18	430	22233
19	462	22673
20	483	22551
21	507	22575
22	528	22448
23	552	22474
24	572	22324
25	598	22415
26	616	22198
27	637	22141
28	658	22050
29	678	21953
30	697	21807
31	721	21835
32	740	21706
33	765	21751
34	788	21742
35	812	21755
36	833	21683
37	861	21821
38	881	21726
39	906	21767
40	930	21774
41	950	21670
42	969	21579
43	992	21574
44	1012	21482
45	1034	21453
46	1055	21406
47	1078	21394
48	1099	21333
49	1121	21305
50	1141	21245
51	1169	21315
52	1187	21226
53	1216	21315
54	1234	21215
55	1264	21308
56	1282	21214
57	1308	21257
58	1327	21178
59	1350	21165
60	1371	21108
61	1395	21106
62	1413	21029
63	1440	21067
64	1460	21006
65	1483	20990
66	1503	20935
67	1521	20858
68	1548	20895
69	1570	20863
70	1592	20840
71	1609	20738
72	1632	20736
73	1653	20687
74	1679	20709
75	1700	20672
76	1728	20715
77	1748	20663
78	1768	20619
79	1791	20598
80	1809	20530
81	1829	20476
82	1850	20440
83	1868	20377
84	1890	20346
85	1909	20292
86	1931	20273
87	1950	20211
88	1970	20171
89	1990	20123
90	2014	20125
91	2034	20083
92	2055	20050
93	2074	19994
94	2098	19994
95	2117	19943
96	2138	19904
97	2159	19875
98	2182	19860
99	2201	19816
100	2221	19773
101	2250	19810
102	2269	19766
103	2296	19787
104	2315	19739
105	2338	19721
106	2359	19688
107	2379	19655
108	2397	19601
109	2419	19576
110	2439	19541
111	2461	19512
112	2480	19467
113	2501	19442
114	2521	19408
115	2540	19363
116	2561	19331
117	2580	19286
118	2599	19242
119	2619	19208
120	2637	19159
121	2659	19141
122	2678	19099
123	2701	19087
124	2721	19052
125	2741	19014
126	2762	18987
127	2783	18962
128	2806	18948
129	2825	18909
130	2849	18902
131	2869	18870
132	2897	18890
133	2919	18866
134	2941	18848
135	2959	18800
136	2983	18792
137	3004	18769
138	3031	18776
139	3053	18754
140	3072	18721
141	3091	18681
142	3111	18644
143	3131	18616
144	3153	18593
145	3174	18567
146	3194	18538
147	3217	18519
148	3235	18479
149	3261	18483
150	3282	18456
151	3308	18456
152	3327	18423
153	3348	18397
154	3368	18366
155	3390	18345
156	3410	18310
157	3432	18292
158	3453	18264
159	3476	18251
160	3497	18228
161	3527	18246
162	3546	18211
163	3573	18218
164	3595	18197
165	3618	18180
166	3638	18151
167	3667	18160
168	3690	18148
169	3714	18135
170	3739	18128
171	3761	18105
172	3784	18091
173	3804	18059
174	3824	18028
175	3842	17988
176	3863	17962
177	3883	17932
178	3907	17923
179	3928	17896
180	3953	17890
181	3974	17862
182	3994	17834
183	4017	17816
184	4035	17777
185	4055	17750
186	4074	17714
187	4099	17707
188	4121	17686
189	4149	17691
190	4169	17659
191	4192	17644
192	4212	17614
193	4237	17607
194	4258	17581
195	4278	17552
196	4299	17526
197	4319	17497
198	4339	17465
199	4358	17435
200	4379	17409
201	4398	17377
202	4423	17367
203	4443	17336
204	4463	17308
205	4482	17278
206	4503	17251
207	4523	17223
208	4545	17201
209	4563	17169
210	4583	17139
211	4605	17118
212	4624	17088
213	4647	17069
214	4677	17079
215	4698	17054
216	4718	17024
217	4740	17005
218	4761	16980
219	4786	16969
220	4806	16943
221	4826	16914
222	4847	16889
223	4867	16862
224	4887	16833
225	4908	16811
226	4929	16785
227	4953	16771
228	4972	16742
229	5001	16743
230	5020	16712
231	5045	16701
232	5064	16669
233	5084	16645
234	5103	16613
235	5124	16588
236	5145	16566
237	5167	16545
238	5186	16514
239	5208	16494
240	5228	16467
241	5252	16453
242	5272	16424
243	5292	16397
244	5312	16372
245	5335	16353
246	5355	16327
247	5381	16319
248	5403	16297
249	5425	16275
250	5445	16249
251	5463	16217
252	5483	16190
253	5506	16171
254	5528	16151
255	5550	16130
256	5570	16103
257	5590	16079
258	5609	16049
259	5630	16024
260	5650	15998
261	5670	15972
262	5690	15946
263	5711	15922
264	5730	15895
265	5760	15894
266	5779	15866
267	5800	15842
268	5819	15813
269	5841	15793
270	5859	15763
271	5882	15743
272	5901	15716
273	5929	15712
274	5949	15685
275	5971	15665
276	5992	15640
277	6016	15625
278	6036	15600
279	6060	15584
280	6082	15562
281	6104	15543
282	6123	15514
283	6146	15496
284	6167	15473
285	6192	15458
286	6211	15432
287	6229	15401
288	6250	15377
289	6270	15352
290	6296	15341
291	6316	15315
292	6344	15309
293	6364	15284
294	6387	15263
295	6406	15237
296	6426	15211
297	6445	15182
298	6466	15160
299	6485	15131
300	6509	15116
301	6530	15093
302	6548	15063
303	6568	15038
304	6586	15007
305	6609	14990
306	6628	14963
307	6651	14943
308	6670	14917
309	6691	14894
310	6710	14867
311	6733	14848
312	6753	14822
313	6778	14808
314	6797	14781
315	6822	14767
316	6843	14745
317	6865	14725
318	6885	14699
319	6920	14707
320	6954	14709
321	6976	14689
322	6999	14671
323	7019	14645
324	7042	14626
325	7061	14598
326	7082	14576
327	7102	14552
328	7127	14536
329	7147	14511
330	7175	14503
331	7197	14480
332	7222	14466
333	7244	14446
334	7265	14423
335	7285	14397
336	7310	14381
337	7330	14358
338	7352	14336
339	7371	14309
340	7397	14296
341	7419	14274
342	7437	14245
343	7457	14221
344	7476	14195
345	7501	14178
346	7521	14153
347	7544	14135
348	7564	14109
349	7588	14092
350	7608	14068
351	7634	14053
352	7653	14027
353	7676	14009
354	7696	13984
355	7719	13964
356	7741	13943
357	7765	13925
358	7785	13900
359	7804	13874
360	7823	13848
361	7846	13828
362	7866	13804
363	7889	13784
364	7909	13760
365	7937	13748
366	7956	13723
367	7989	13720
368	8010	13698
369	8032	13677
370	8052	13651
371	8077	13635
372	8098	13613
373	8119	13590
374	8137	13563
375	8159	13540
376	8179	13516
377	8200	13494
378	8220	13469
379	8248	13457
380	8268	13432
381	8290	13412
382	8310	13387
383	8333	13368
384	8353	13344
